ProductKey,CustomerKey,SalesOrderNumber,ProductName,OrderQuantity,Price,OrderDate,
310,21768,SO43697,"Road-150 Red, 62",1,3578.27,29/12/2010,
346,28389,SO43698,"Mountain-100 Silver, 44",1,3399.99,29/12/2010,
346,25863,SO43699,"Mountain-100 Silver, 44",1,3399.99,29/12/2010,
336,14501,SO43700,"Road-650 Black, 62",1,699.0982,29/12/2010,
346,11003,SO43701,"Mountain-100 Silver, 44",1,3399.99,29/12/2010,
311,27645,SO43702,"Road-150 Red, 44",1,3578.27,30/12/2010,
310,16624,SO43703,"Road-150 Red, 62",1,3578.27,30/12/2010,
351,11005,SO43704,"Mountain-100 Black, 48",1,3374.99,30/12/2010,
344,11011,SO43705,"Mountain-100 Silver, 38",1,3399.99,30/12/2010,
312,27621,SO43706,"Road-150 Red, 48",1,3578.27,31/12/2010,
312,27616,SO43707,"Road-150 Red, 48",1,3578.27,31/12/2010,
330,20042,SO43708,"Road-650 Red, 52",1,699.0982,31/12/2010,
313,16351,SO43709,"Road-150 Red, 52",1,3578.27,31/12/2010,
314,16517,SO43710,"Road-150 Red, 56",1,3578.27,31/12/2010,
314,27606,SO43711,"Road-150 Red, 56",1,3578.27,01/01/2011,
311,13513,SO43712,"Road-150 Red, 44",1,3578.27,01/01/2011,
310,27601,SO43713,"Road-150 Red, 62",1,3578.27,02/01/2011,
311,13591,SO43714,"Road-150 Red, 44",1,3578.27,02/01/2011,
314,16483,SO43715,"Road-150 Red, 56",1,3578.27,02/01/2011,
311,16529,SO43716,"Road-150 Red, 44",1,3578.27,02/01/2011,
336,25249,SO43717,"Road-650 Black, 62",1,699.0982,02/01/2011,
311,27668,SO43718,"Road-150 Red, 44",1,3578.27,03/01/2011,
312,27612,SO43719,"Road-150 Red, 48",1,3578.27,03/01/2011,
311,13264,SO43720,"Road-150 Red, 44",1,3578.27,03/01/2011,
310,13590,SO43721,"Road-150 Red, 62",1,3578.27,03/01/2011,
312,13581,SO43722,"Road-150 Red, 48",1,3578.27,04/01/2011,
332,14520,SO43723,"Road-650 Black, 58",1,699.0982,04/01/2011,
311,16520,SO43724,"Road-150 Red, 44",1,3578.27,04/01/2011,
311,13258,SO43725,"Road-150 Red, 44",1,3578.27,05/01/2011,
332,14560,SO43726,"Road-650 Black, 58",1,699.0982,05/01/2011,
311,16607,SO43727,"Road-150 Red, 44",1,3578.27,05/01/2011,
313,27666,SO43728,"Road-150 Red, 52",1,3578.27,06/01/2011,
346,11238,SO43729,"Mountain-100 Silver, 44",1,3399.99,06/01/2011,
346,25861,SO43730,"Mountain-100 Silver, 44",1,3399.99,06/01/2011,
